iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SLE,Africa,Sierra Leone,12/31/20,2611,28,11.429,76,0,0,327.317,3.51,1.433,9.527,0,0,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
SGP,Asia,Singapore,12/31/20,58599,30,14.857,29,0,0,10016.336,5.128,2.54,4.957,0,0,1.48,,,,,,,,,,,,,27226,4.654,0.001,1832.5,samples tested,,,,,,,,,,45.37,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
SVK,Europe,Slovakia,12/31/20,179543,6315,2568.714,2138,73,58,32885.484,1156.669,470.491,391.601,13.371,10.623,1.11,,,2650,485.38,,,,,95101,3273471,599.576,17.419,52298,9.579,0.122,8.2,tests performed,,,,,,,,,,58.33,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
SVN,Europe,Slovenia,12/31/20,122152,2412,1447.286,2697,32,31.143,58757.093,1160.211,696.168,1297.301,15.393,14.98,1.09,195,93.798,1174,564.713,,,,,4073,678496,326.368,1.959,3772,1.814,0.305,3.3,tests performed,11064,11064,,1853,1256,0.53,0.53,,604,81.48,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917
SLB,Oceania,Solomon Islands,12/31/20,17,0,0,,,0,24.75,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567
SOM,Africa,Somalia,12/31/20,4714,0,3.429,130,0,0.429,296.604,0,0.216,8.18,0,0.027,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
ZAF,Africa,South Africa,12/31/20,1057161,18000,12656.857,28469,436,355.143,17824.723,303.497,213.406,480.014,7.351,5.988,1.27,,,,,,,,,55447,6609208,111.437,0.935,40489,0.683,0.313,3.2,people tested,,,,,,,,,,50.93,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
KOR,Asia,South Korea,12/31/20,61769,1029,999.857,917,17,20.571,1204.798,20.071,19.502,17.886,0.332,0.401,0.92,,,,,,,,,55791,4043542,78.869,1.088,44552,0.869,0.022,44.6,people tested,,,,,,,,,,66.2,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
SSD,Africa,South Sudan,12/31/20,3558,18,14.714,63,0,0.143,317.857,1.608,1.315,5.628,0,0.013,0.84,,,,,,,,,260,76232,6.81,0.023,282,0.025,0.052,19.2,tests performed,,,,,,,,,,46.3,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
ESP,Europe,Spain,12/31/20,1928265,18047,10473.429,50837,148,144.714,41242.091,385.993,224.008,1087.311,3.165,3.095,1.29,2018,43.161,11535,246.713,,,,,,22688602,485.268,,114181,2.442,0.092,10.9,tests performed,,,,,,,,,,78.7,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
LKA,Asia,Sri Lanka,12/31/20,43299,597,581.143,204,5,2.714,2022.066,27.88,27.139,9.527,0.234,0.127,0.97,,,,,,,,,14243,1250417,58.395,0.665,11838,0.553,0.049,20.4,tests performed,,,,,,,,,,78.24,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782
SDN,Africa,Sudan,12/31/20,25500,262,206,1468,0,0,581.538,5.975,4.698,33.478,0,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
SUR,South America,Suriname,12/31/20,6210,29,57.143,122,1,0.571,10585.817,49.435,97.408,207.966,1.705,0.974,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
SWE,Europe,Sweden,12/31/20,437379,0,5904.429,8727,0,64,43307.982,0,584.639,864.122,0,6.337,1.41,336,33.27,2908,287.942,,,,,29221,,,2.893,31319,3.101,0.189,5.3,tests performed,,,,,1923,,,,190,69.44,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
CHE,Europe,Switzerland,12/31/20,452296,4391,3442.714,7645,51,78.143,52260.654,507.359,397.789,883.343,5.893,9.029,1,,,,,,,,,23602,3288672,379.99,2.727,21623,2.498,0.162,6.2,tests performed,,,,,,,,,,60.19,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
SYR,Asia,Syria,12/31/20,11434,90,104.714,711,7,8.429,653.347,5.143,5.983,40.627,0.4,0.482,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,39.35,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
TWN,Asia,Taiwan,12/31/20,799,2,3.286,7,0,0,33.548,0.084,0.138,0.294,0,0,0.96,,,,,,,,,507,126989,5.332,0.021,637,0.027,0.005,193.9,people tested,,,,,,,,,,19.44,23816775,,42.2,,8.353,,,103.957,,,,,,80.46,
TJK,Asia,Tajikistan,12/31/20,13296,0,27.143,90,0,0.143,1394.055,0,2.846,9.436,0,0.015,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TZA,Africa,Tanzania,12/31/20,509,0,0,21,0,0,8.521,0,0,0.352,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
THA,Asia,Thailand,12/31/20,7163,279,179,63,2,0.429,102.622,3.997,2.564,0.903,0.029,0.006,1.43,,,,,,,,,13734,1634168,23.412,0.197,18889,0.271,0.016,62.5,tests performed,,,,,,,,,,63.89,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
TLS,Asia,Timor,12/31/20,44,0,0.429,,,0,33.373,0,0.325,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
TGO,Africa,Togo,12/31/20,3633,22,16.143,68,0,0,438.835,2.657,1.95,8.214,0,0,1.11,,,,,,,,,841,179171,21.642,0.102,890,0.108,0.018,55.1,tests performed,,,,,,,,,,66.67,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
TTO,North America,Trinidad and Tobago,12/31/20,7150,18,8.714,127,1,0.286,5109,12.862,6.227,90.747,0.715,0.204,0.83,,,,,,,,,75,72322,51.677,0.054,256,0.183,0.034,29.4,people tested,,,,,,,,,,68.52,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796
TUN,Africa,Tunisia,12/31/20,139140,1924,1769.714,4676,56,50.286,11772.95,162.794,149.74,395.647,4.738,4.255,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
TUR,Asia,Turkey,12/31/20,2208652,14380,15420,20881,239,252.286,26187.769,170.502,182.833,247.584,2.834,2.991,0.55,,,,,,,,,178217,24504567,290.548,2.113,182676,2.166,0.084,11.8,tests performed,,,,,,,,,,80.09,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
UGA,Africa,Uganda,12/31/20,35216,539,328.857,251,0,0.857,769.9,11.784,7.19,5.487,0,0.019,0.81,,,,,,,,,3449,750583,16.409,0.075,2913,0.064,0.113,8.9,samples tested,,,,,,,,,,47.22,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
UKR,Europe,Ukraine,12/31/20,1086997,10117,8124.571,19281,223,174.857,24854.872,231.332,185.773,440.872,5.099,3.998,0.83,,,,,,,,,,,,,28680,0.656,0.283,3.5,tests performed,,,,,,,,,,54.63,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
ARE,Asia,United Arab Emirates,12/31/20,207822,1730,1341,669,4,3.143,21012.497,174.917,135.586,67.641,0.404,0.318,1.21,,,,,,,,,146721,20890341,2112.184,14.835,143511,14.51,0.009,107,tests performed,,,,,,,,,,49.07,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
GBR,Europe,United Kingdom,12/31/20,2496235,56029,43012.429,73622,965,555.714,36770.982,825.339,633.598,1084.495,14.215,8.186,1.35,2122,31.258,26572,391.421,,,,,482473,52560089,774.24,7.107,380014,5.598,0.113,8.8,tests performed,,,,,,,,,,79.63,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932
USA,North America,United States,12/31/20,20099363,235667,189115.143,352093,3480,2511.571,60722.665,711.979,571.34,1063.717,10.514,7.588,1.06,27706,83.703,123062,371.786,,,,,1919571,256854020,775.988,5.799,1460857,4.413,0.129,7.8,tests performed,,,,,278776,,,,834,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
URY,South America,Uruguay,12/31/20,19119,639,523.143,181,7,6.571,5503.887,183.952,150.6,52.105,2.015,1.892,1.15,,,,,,,,,6779,640128,184.277,1.952,6187,1.781,0.085,11.8,tests performed,,,,,,,,,,70.37,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817
UZB,Asia,Uzbekistan,12/31/20,77060,75,86.286,614,0,0.286,2302.415,2.241,2.578,18.345,0,0.009,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72
VUT,Oceania,Vanuatu,12/31/20,1,0,0,,,0,3.256,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
VAT,Europe,Vatican,12/31/20,27,0,0,,,0,33374.536,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,,,,,,,,75.12,
VEN,South America,Venezuela,12/31/20,113558,437,330.429,1028,3,3.143,3993.467,15.368,11.62,36.151,0.106,0.111,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
VNM,Asia,Vietnam,12/31/20,1465,9,4.714,35,0,0,15.051,0.092,0.048,0.36,0,0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
YEM,Asia,Yemen,12/31/20,2099,2,1,610,0,0.571,70.375,0.067,0.034,20.452,0,0.019,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
ZMB,Africa,Zambia,12/31/20,20725,263,213,388,2,1,1127.342,14.306,11.586,21.105,0.109,0.054,1.55,,,,,,,,,9853,601003,32.692,0.536,7844,0.427,0.027,36.8,tests performed,,,,,,,,,,49.07,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
ZWE,Africa,Zimbabwe,12/31/20,13867,242,154.429,363,3,3.429,932.993,16.282,10.39,24.423,0.202,0.231,1.52,,,,,,,,,1677,216254,14.55,0.113,1623,0.109,0.095,10.5,tests performed,,,,,,,,,,69.44,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
