iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IRL,Europe,Ireland,12/31/20,91779,1622,1243.714,2237,11,6.429,18587.038,328.487,251.876,453.036,2.228,1.302,1.88,42,8.506,491,99.437,,,,,26312,2375010,480.986,5.329,14853,3.008,0.084,11.9,tests performed,1800,,,,,0.04,,,,84.26,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
ISR,Asia,Israel,12/31/20,423262,6678,4797.714,3325,18,22,48900.698,771.529,554.294,384.147,2.08,2.542,1.38,219,25.302,1442,166.598,,,,,103597,8385035,968.748,11.969,90221,10.423,0.053,18.8,tests performed,989642,989642,,158046,110939,11.43,11.43,,12817,82.41,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ITA,Europe,Italy,12/31/20,2107166,23477,13978.429,74159,555,465.571,34851.179,388.295,231.194,1226.542,9.179,7.7,1.11,2555,42.258,25706,425.161,,,,,186004,26598607,439.924,3.076,120892,1.999,0.116,8.6,tests performed,40093,40093,,25750,8231,0.07,0.07,,136,84.26,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
JAM,North America,Jamaica,12/31/20,12827,34,44,302,0,1.429,4331.747,11.482,14.859,101.987,0,0.482,1.01,,,,,,,,,,,,,437,0.148,0.101,9.9,samples tested,,,,,,,,,,71.3,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
JPN,Asia,Japan,12/31/20,235811,4540,3577.429,3292,49,46.429,1864.466,35.896,28.285,26.029,0.387,0.367,1.13,,,,,,,,,39575,4486717,35.475,0.313,37825,0.299,0.095,10.6,people tested,,,,,,,,,,48.15,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
JOR,Asia,Jordan,12/31/20,294494,1427,1543.429,3834,19,21.857,28863.075,139.859,151.27,375.767,1.862,2.142,0.8,,,,,,,,,23430,3175555,311.233,2.296,19316,1.893,0.08,12.5,tests performed,,,,,,,,,,81.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
KAZ,Asia,Kazakhstan,12/31/20,201196,753,886.143,2761,0,12,10715.191,40.103,47.194,147.044,0,0.639,1.02,,,,,,,,,32264,5539512,295.02,1.718,29643,1.579,0.03,33.5,tests performed,,,,,,,,,,70.37,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
KEN,Africa,Kenya,12/31/20,96458,207,146.714,1670,3,2.571,1793.857,3.85,2.728,31.057,0.056,0.048,0.68,,,,,,,,,,,,,3774,0.07,0.039,25.7,samples tested,,,,,,,,,,62.96,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
OWID_KOS,Europe,Kosovo,12/31/20,51144,234,243.429,1332,7,8.286,26461.449,121.07,125.948,689.165,3.622,4.287,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1932774,168.155,,,,9795.834,0.6,,,,,,,,
KWT,Asia,Kuwait,12/31/20,150584,286,223.857,934,1,1.143,35260.925,66.97,52.419,218.707,0.234,0.268,1.05,,,,,,,,,3289,1254832,293.833,0.77,2713,0.635,0.083,12.1,tests performed,,,,,1121,,,,262,62.96,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806
KGZ,Asia,Kyrgyzstan,12/31/20,81034,191,169.857,1355,1,2.143,12420.544,29.276,26.035,207.689,0.153,0.328,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
LAO,Asia,Laos,12/31/20,41,0,0,,,0,5.635,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613
LVA,Europe,Latvia,12/31/20,40904,1861,878.571,635,9,21.286,21685.906,986.639,465.789,336.655,4.771,11.285,1.1,,,939,497.826,,,,,12395,877015,464.963,6.571,7442,3.945,0.118,8.5,tests performed,,,,,601,,,,319,63.89,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866
LBN,Asia,Lebanon,12/31/20,181503,3507,2224.286,1468,12,16.429,26592.124,513.813,325.882,215.078,1.758,2.407,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LSO,Africa,Lesotho,12/31/20,3094,0,52.714,51,0,0,1444.275,0,24.607,23.807,0,0,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
LBR,Africa,Liberia,12/31/20,1779,0,0,83,0,0,351.743,0,0,16.411,0,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
LBY,Africa,Libya,12/31/20,100277,342,440.714,1478,19,11.286,14593.627,49.772,64.139,215.098,2.765,1.642,0.98,,,,,,,,,2624,,,0.382,,,,,samples tested,,,,,,,,,,84.26,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
LIE,Europe,Liechtenstein,12/31/20,2136,32,30.857,39,0,1.286,56008.601,839.08,809.113,1022.629,0,33.713,0.9,,,,,,,,,136,20939,549.047,3.566,162,4.248,0.196,5.1,tests performed,0,0,,0,0,0,0,,0,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
LTU,Europe,Lithuania,12/31/20,141955,2468,2442.714,1796,56,47.143,52145.417,906.589,897.301,659.738,20.571,17.317,0.91,,,2480,910.997,,,,,12537,1641907,603.134,4.605,9949,3.655,0.244,4.1,tests performed,9739,9739,,25,1830,0.36,0.36,,672,76.85,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882
LUX,Europe,Luxembourg,12/31/20,46415,0,172.286,495,0,5.286,74148.21,0,275.227,790.765,0,8.444,0.76,33,52.718,136,217.261,,,,,4470,1651666,2638.545,7.141,4503,7.194,0.038,26.1,tests performed,,,,,62,,,,99,84.26,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916
MDG,Africa,Madagascar,12/31/20,17714,0,11.571,261,0,0.143,639.702,0,0.418,9.425,0,0.005,0.66,,,,,,,,,,,,,147,0.005,0.079,12.7,tests performed,,,,,,,,,,37.04,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
MWI,Africa,Malawi,12/31/20,6583,112,43.714,189,0,0.286,344.12,5.855,2.285,9.88,0,0.015,2.04,,,,,,,,,,,,,261,0.014,0.167,6,samples tested,,,,,,,,,,48.15,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
MYS,Asia,Malaysia,12/31/20,113010,2525,1813.143,471,8,3.571,3491.627,78.014,56.02,14.552,0.247,0.11,1.16,,,,,,,,,26681,3344327,103.328,0.824,21187,0.655,0.086,11.7,people tested,,,,,,,,,,67.13,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
MDV,Asia,Maldives,12/31/20,13757,19,28.429,48,0,0,25450.381,35.15,52.593,88.8,0,0,1.19,,,,,,,,,2455,314600,582.008,4.542,2495,4.616,0.011,87.8,samples tested,,,,,,,,,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74
MLI,Africa,Mali,12/31/20,7090,61,92.714,269,0,4.857,350.109,3.012,4.578,13.283,0,0.24,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
MLT,Europe,Malta,12/31/20,12774,109,101.714,219,3,2.286,28930.627,246.864,230.363,495.992,6.794,5.177,1.19,,,,,,,,,2779,517446,1171.915,6.294,2599,5.886,0.039,25.6,tests performed,,,,,,,,,,52.78,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
MHL,Oceania,Marshall Islands,12/31/20,4,0,0,,,0,67.574,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
MRT,Africa,Mauritania,12/31/20,14364,173,178,347,8,6.571,3089.258,37.207,38.282,74.629,1.721,1.413,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546
MUS,Africa,Mauritius,12/31/20,527,0,0,10,0,0,414.384,0,0,7.863,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MEX,North America,Mexico,12/31/20,1426094,12159,9075.714,125807,910,662.143,11060.758,94.305,70.391,975.757,7.058,5.136,1.05,,,,,,,,,30385,3441034,26.689,0.236,24655,0.191,0.409,2.4,people tested,,,,,3695,,,,29,71.76,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
MDA,Europe,Moldova,12/31/20,144818,977,769,2985,25,19.571,35899.685,242.194,190.631,739.967,6.197,4.852,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
MCO,Europe,Monaco,12/31/20,875,22,13.143,3,0,0,22296.402,560.595,334.901,76.445,0,0,1.39,,,,,,,,,,,,,,,,,,,,,,126,,,,3211,51.85,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,
MNG,Asia,Mongolia,12/31/20,1220,5,20.714,1,0,0.143,372.145,1.525,6.319,0.305,0,0.044,1.17,,,,,,,,,,600984,183.322,,10752,3.28,0.002,519.1,samples tested,,,,,,,,,,75.46,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
MNE,Europe,Montenegro,12/31/20,48247,465,403.429,682,1,4.857,76818.849,740.373,642.339,1085.88,1.592,7.734,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829
MAR,Africa,Morocco,12/31/20,439193,1861,1904.143,7388,33,36.857,11898.845,50.419,51.588,200.16,0.894,0.999,0.79,,,,,,,,,17669,4457349,120.761,0.479,14699,0.398,0.13,7.7,people tested,,,,,,,,,,76.85,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
MOZ,Africa,Mozambique,12/31/20,18642,157,87.286,166,1,1.429,596.44,5.023,2.793,5.311,0.032,0.046,1.35,,,,,,,,,1697,271947,8.701,0.054,1204,0.039,0.072,13.8,units unclear,,,,,,,,,,50,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
MMR,Asia,Myanmar,12/31/20,124630,890,691.714,2682,18,21.429,2290.58,16.357,12.713,49.293,0.331,0.394,0.81,,,,,,,,,24007,1818260,33.418,0.441,22290,0.41,0.031,32.2,samples tested,,,,,,,,,,75.93,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
NAM,Africa,Namibia,12/31/20,23941,608,480.286,205,9,2.571,9422.193,239.284,189.021,80.68,3.542,1.012,1.14,,,,,,,,,2221,209155,82.315,0.874,1910,0.752,0.251,4,samples tested,,,,,,,,,,38.89,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
NPL,Asia,Nepal,12/31/20,260593,534,571.571,1856,9,6.857,8943.773,18.327,19.617,63.699,0.309,0.235,0.78,,,,,,,,,,1932477,66.324,,5175,0.178,0.11,9.1,tests performed,,,,,,,,,,60.19,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
NLD,Europe,Netherlands,12/31/20,808382,9790,9269.857,11525,108,87.286,47177.589,571.349,540.994,672.605,6.303,5.094,0.89,724,42.253,2104,122.791,,,,,,,,,31216,1.822,,,people tested,,,,,,,,,,78.7,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NZL,Oceania,New Zealand,12/31/20,2162,0,4.857,25,0,0,448.34,0,1.007,5.184,0,0,0.78,,,,,,,,,,1405854,291.536,,2999,0.622,0.002,617.5,tests performed,,,,,,,,,,22.22,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
NIC,North America,Nicaragua,12/31/20,6046,0,7.857,165,0,0.143,912.665,0,1.186,24.907,0,0.022,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
NER,Africa,Niger,12/31/20,3323,115,55.714,104,2,2,137.276,4.751,2.302,4.296,0.083,0.083,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
NGA,Africa,Nigeria,12/31/20,87607,1031,806.286,1289,11,6.714,424.989,5.001,3.911,6.253,0.053,0.033,1.19,,,,,,,,,9446,948048,4.599,0.046,5133,0.025,0.157,6.4,samples tested,,,,,,,,,,58.33,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
